#scaffold	subcluster_id	asmbl_acc	cdna_accs	alignment_description
gi|68711	6	asmbl_11	c1807_g0_i1,c2974_g0_i1,gi|396647|gb|Z25511.1|Z25511,gi|49309057|gb|BP657587.1|BP657587,gi|2763490|gb|T75631.1|T75631,gi|3449686|gb|AI099947.1|AI099947,gi|42468157|emb|BX819622.1|CNS0A8V4,gi|42468158|emb|BX819625.1|CNS0A8VN,gi|49293117|gb|BP641647.1|BP641647,gi|49294600|gb|BP643130.1|BP643130,gi|49299685|gb|BP648215.1|BP648215,gi|49307485|gb|BP656015.1|BP656015,gi|19799120|gb|AU230410.1|AU230410,gi|6782248|emb|AJ271597.1|ATH271597,c6943_g0_i1,c1300_g0_i1,c1492_g0_i1,c1540_g0_i1,c1808_g0_i1,c2865_g0_i1,c2877_g0_i1,c2912_g0_i1,c2987_g0_i1,c339_g0_i1,c4254_g0_i1,c6530_g0_i1,c969_g0_i1,gi|2048017|gb|AA394820.1|AA394820,gi|86063090|gb|DR358847.1|DR358847,gi|8695093|gb|AV534810.1|AV534810	orient(a-/s-) align: 33357(2478)-34232(1603)>CT....AC<34328(1602)-34397(1533)>CT....AC<34524(1532)-34767(1289)>CT....AC<34941(1288)-35017(1212)>CT....AC<35107(1211)-35172(1146)>CT....AC<35293(1145)-35341(1097)>CT....AC<35580(1096)-35638(1038)>CT....AC<35737(1037)-35788(986)>CT....AC<35915(985)-36089(811)>CT....AC<36268(810)-36309(769)>CT....AC<36362(768)-36548(582)>CT....AC<36879(581)-37028(432)>CT....AC<37065(431)-37495(1)
gi|68711	8	asmbl_12	gi|86056913|gb|DR352670.1|DR352670,c3202_g0_i1,gi|14532527|gb|AY039888.1|,c6456_g0_i1,c6459_g0_i1,gi|42467384|emb|BX819813.1|CNS0A8I9,gi|18655376|gb|AY077666.1|,gi|59898821|gb|BP837850.1|BP837850,gi|19839856|gb|AV805871.1|AV805871,gi|86056909|gb|DR352666.1|DR352666,gi|86056911|gb|DR352668.1|DR352668,gi|86056912|gb|DR352669.1|DR352669,gi|86056914|gb|DR352671.1|DR352671,gi|8678774|gb|AV519247.1|AV519247,gi|19861773|gb|AV819822.1|AV819822,gi|19864228|gb|AV822195.1|AV822195,gi|14532493|gb|AY039871.1|,gi|32362537|gb|CB074156.1|CB074156,gi|42467462|emb|BX820042.1|CNS0A8GI,gi|42467544|emb|BX820309.1|CNS0A8LV,gi|42467850|emb|BX818822.1|CNS0A905,gi|42468257|emb|BX820772.1|CNS0A8PI,gi|49289224|gb|BP637972.1|BP637972,gi|56086876|gb|BP562044.2|BP562044,gi|19801675|gb|AV782885.1|AV782885,gi|59847772|gb|BP811693.1|BP811693,c567_g0_i1,c6454_g0_i1,c6457_g0_i1,c6458_g0_i1,c6796_g0_i1,c691_g0_i1,c720_g0_i1,c115_g0_i1,c116_g0_i1,c1401_g0_i1,c1755_g0_i1,c1760_g0_i1,c1763_g0_i1,c1786_g0_i1,c1817_g0_i1,c247_g0_i1,c2836_g0_i1,c368_g0_i1,c3726_g0_i1,c3955_g0_i1,c1800_g0_i1,c6455_g0_i1,gi|42468058|emb|BX819380.1|CNS0A8U4,gi|86056910|gb|DR352667.1|DR352667	orient(a-/s-) align: 38401(1461)-38715(1147)>CT....AC<38808(1146)-39953(1)
gi|68711	8	asmbl_13	gi|86056913|gb|DR352670.1|DR352670,c1004_g0_i1,c3202_g0_i1,c6456_g0_i1,c6459_g0_i1,gi|59898821|gb|BP837850.1|BP837850,gi|86056909|gb|DR352666.1|DR352666,gi|86056911|gb|DR352668.1|DR352668,gi|86056912|gb|DR352669.1|DR352669,gi|86056914|gb|DR352671.1|DR352671,gi|86084686|gb|DR380445.1|DR380445,gi|8682044|gb|AV522517.1|AV522517,gi|8700432|gb|AV538676.1|AV538676,gi|19864228|gb|AV822195.1|AV822195,gi|21403701|gb|AY084991.1|,gi|42468073|emb|BX819411.1|CNS0A8VM,gi|56086876|gb|BP562044.2|BP562044,gi|58799838|gb|BP779059.1|BP779059,gi|59847772|gb|BP811693.1|BP811693,c6454_g0_i1,c6457_g0_i1,c6458_g0_i1,c6747_g0_i1,c6824_g0_i1,c6979_g0_i1,c720_g0_i1,c1801_g0_i1,c3374_g0_i1,c3726_g0_i1,c3955_g0_i1,c6455_g0_i1,gi|86056910|gb|DR352667.1|DR352667	orient(a-/s-) align: 38331(1427)-38715(1043)>CT....AC<38912(1042)-39953(1)
gi|68711	9	asmbl_14	c4214_g0_i1,c3119_g0_i1,gi|49823509|gb|AY648327.1|,gi|60547738|gb|AY924758.1|	orient(a-/s-) align: 40252(886)-40470(668)>CT....AC<40575(667)-40718(524)>CT....AC<41301(523)-41371(453)>CT....AC<41496(452)-41595(353)>CT....AC<41738(352)-41768(322)>CT....AC<42246(321)-42343(224)>CT....AC<42851(223)-43073(1)
gi|68711	9	asmbl_15	gi|49823511|gb|AY648328.1|,c3120_g0_i1	orient(a-/s-) align: 40254(1533)-40470(1317)>CT....AC<40575(1316)-40718(1173)>CT....AC<41301(1172)-41371(1102)>CT....AC<41496(1101)-41768(829)>CT....AC<42246(828)-43073(1)
gi|68711	10	asmbl_16	gi|86078332|gb|DR374089.1|DR374089,c1310_g0_i1,c1336_g0_i1,gi|21405343|gb|AY086633.1|,gi|8697472|gb|AV537189.1|AV537189,gi|13122295|dbj|AB047812.1|,gi|19875477|gb|AU236308.1|AU236308,gi|2763817|gb|T88193.1|T88193,gi|27754488|gb|BT002875.1|,gi|28251348|gb|CB185745.2|CB185745,gi|28251395|gb|CB185792.2|CB185792,gi|28393972|gb|BT004400.1|,gi|48989893|gb|BP574127.1|BP574127,gi|19741839|gb|AU227192.1|AU227192,gi|56913161|gb|CB252536.1|CB252536,gi|56914225|gb|CB253600.1|CB253600,gi|59796064|gb|BP798447.1|BP798447,c6665_g0_i1,c70_g0_i1,c868_g0_i1,c1025_g0_i1,c1305_g0_i1,c1329_g0_i1,c1330_g0_i1,c2242_g0_i1,c293_g0_i1,c3225_g0_i1,c3241_g0_i1,c3562_g0_i1,c1302_g0_i1,c1321_g0_i1,c5943_g0_i1,c6965_g0_i1,c7249_g0_i1,gi|2763588|gb|T76115.1|T76115,gi|28197774|gb|CB185796.1|CB185796,gi|85995973|gb|DR291712.1|DR291712,gi|935775|gb|T76823.1|T76823	orient(a-/s?) align: 45557(884)-46440(1)
gi|68711	11	asmbl_17	gi|86015452|gb|DR311198.1|DR311198,c3156_g0_i1,c6129_g0_i1,c6649_g0_i1,gi|86015448|gb|DR311194.1|DR311194,gi|86015450|gb|DR311196.1|DR311196,gi|86015451|gb|DR311197.1|DR311197,gi|86015454|gb|DR311200.1|DR311200,gi|86077293|gb|DR373050.1|DR373050,gi|21404607|gb|AY085897.1|,gi|32888321|gb|CB263548.1|CB263548,gi|42467215|emb|BX821640.1|CNS0A7XC,gi|51969899|dbj|AK175879.1|,gi|59855662|gb|BP819562.1|BP819562,c6127_g0_i1,c6130_g0_i1,c6131_g0_i1,c6133_g0_i1,c1017_g0_i1,c1472_g0_i1,c1748_g0_i1,c3801_g0_i1,c1932_g0_i1,c6128_g0_i1,c6132_g0_i1,gi|42475141|emb|BX817701.1|CNS0AEJM,gi|86015449|gb|DR311195.1|DR311195,gi|86015453|gb|DR311199.1|DR311199	orient(a-/s?) align: 49037(1052)-50088(1)
gi|68711	12	asmbl_18	c1185_g0_i1,gi|19877569|gb|AU238400.1|AU238400,gi|39980505|gb|AY464597.1|,gi|19797999|gb|AU229584.1|AU229584,c893_g0_i1,c1549_g0_i1,c323_g0_i1,gi|26450208|dbj|AK117562.1|	orient(a-/s-) align: 50940(944)-51326(558)>CT....AC<51510(557)-51675(392)>CT....AC<51766(391)-51870(287)>CT....AC<51959(286)-52244(1)
gi|68711	12	asmbl_19	gi|42469665|emb|BX820787.1|CNS0AA7S,gi|19797999|gb|AU229584.1|AU229584,c1896_g0_i1,c323_g0_i1	orient(a-/s-) align: 50940(1023)-51326(637)>CT....AC<51510(636)-51675(471)>CT....AC<51766(470)-52235(1)
gi|68711	13	asmbl_20	gi|8683331|gb|AV523803.1|AV523803,gi|19862190|gb|AV820231.1|AV820231,c697_g0_i1,c793_g0_i1,c1570_g0_i1,c1638_g0_i1,gi|20465476|gb|AY096548.1|,gi|2048955|gb|AA395730.1|AA395730,c2524_g0_i1,c2667_g0_i1,c2878_g0_i1,c4240_g0_i1,c6615_g0_i1,gi|49294676|gb|BP643206.1|BP643206,gi|86073711|gb|DR369468.1|DR369468,gi|86073712|gb|DR369469.1|DR369469,gi|19857582|gb|AV815744.1|AV815744,gi|19859386|gb|AV817498.1|AV817498,gi|8689360|gb|AV529077.1|AV529077,gi|8729964|gb|AV558538.1|AV558538,gi|8730033|gb|AV558607.1|AV558607,gi|8730220|gb|AV558794.1|AV558794,gi|19870317|gb|AV828257.1|AV828257,gi|19874326|gb|AV832266.1|AV832266,gi|13877516|gb|AF353094.1|AF353094,gi|32883215|gb|CB258442.1|CB258442,gi|40449539|gb|CD529527.1|CD529527,gi|40449907|gb|CD529895.1|CD529895,gi|40450314|gb|CD530302.1|CD530302,gi|40451158|gb|CD531146.1|CD531146,gi|40455050|gb|CD568301.1|CD568301,gi|40455087|gb|CD568338.1|CD568338,gi|42466721|emb|BX825745.1|CNS0A7JU,gi|42534656|gb|BX840573.1|BX840573,gi|47832115|gb|CK121799.1|CK121799,gi|18176172|gb|AY072175.1|,gi|49155075|gb|BP587607.1|BP587607,gi|49167518|gb|BP600050.1|BP600050,gi|49232352|gb|BP602108.1|BP602108,gi|49233657|gb|BP603413.1|BP603413,gi|49233841|gb|BP603597.1|BP603597,gi|49253299|gb|BP605786.1|BP605786,gi|49263214|gb|BP612032.1|BP612032,gi|49266198|gb|BP615016.1|BP615016,gi|49269279|gb|BP618097.1|BP618097,gi|49272910|gb|BP621728.1|BP621728,gi|49283286|gb|BP632034.1|BP632034,gi|19797812|gb|AU229478.1|AU229478,gi|515609|gb|Z35398.1|Z35398,gi|5839736|gb|AI992831.1|AI992831,gi|59665463|gb|BP792958.1|BP792958,gi|59906112|gb|BP845139.1|BP845139,gi|62320985|dbj|AK221821.1|,gi|71035908|gb|DR750568.1|DR750568,gi|71035909|gb|DR750569.1|DR750569,c6616_g0_i1,c655_g0_i1,c671_g0_i1,c6838_g0_i1,c6887_g0_i1,c7102_g0_i1,c7151_g0_i1,c7152_g0_i1,c7154_g0_i1,c844_g0_i1,c946_g0_i1,c92_g0_i1,c979_g0_i1,c1382_g0_i1,c1432_g0_i1,c1567_g0_i1,c1578_g0_i1,c1591_g0_i1,c1639_g0_i1,c1717_g0_i1,c2012_g0_i1,c2091_g0_i1,c233_g0_i1,c2400_g0_i1,c2493_g0_i1,c2512_g0_i1,c2527_g0_i1,c2552_g0_i1,c2604_g0_i1,c2632_g0_i1,c2704_g0_i1,c2790_g0_i1,c3138_g0_i1,c3271_g0_i1,c3498_g0_i1,c4014_g0_i1,c4276_g0_i1,c4277_g0_i1,c1256_g0_i1,c1433_g0_i1,c1582_g0_i1,c316_g0_i1,c4022_g0_i1,c56_g0_i1,c68_g0_i1,c7248_g0_i1,c82_g0_i1,gi|1217271|gb|N65645.1|N65645,gi|1269264|gb|N96897.1|N96897,gi|13382828|gb|BG459503.1|BG459503,gi|2756816|gb|R83956.1|R83956,gi|30725517|gb|BT008422.1|,gi|32883371|gb|CB258598.1|CB258598,gi|40450672|gb|CD530660.1|CD530660,gi|59906676|gb|BP845703.1|BP845703,gi|8724719|gb|AV553306.1|AV553306,gi|935704|gb|T76740.1|T76740	orient(a+/s+) align: 64613(1)-64801(189)>GT....AG<64913(190)-64961(238)>GT....AG<65242(239)-66171(1168)>GT....AG<66489(1169)-66877(1557)>GT....AG<66962(1558)-67022(1618)>GT....AG<67108(1619)-68196(2707)
